id,from_asset,to_asset,year,rep_period,capacity_coefficient,conversion_coefficient,time_block_start,time_block_end,solution
1,Coal,Demand_GER,1900,1,1.0,1.0,1,1,0.0
2,Coal,Demand_GER,1900,1,1.0,1.0,2,2,0.0
3,Coal,Demand_GER,1900,1,1.0,1.0,3,3,0.0
4,Coal,Demand_GER,1900,1,1.0,1.0,4,4,0.0
5,Coal,Demand_GER,1900,1,1.0,1.0,5,5,0.0
6,Coal,Demand_GER,1900,1,1.0,1.0,6,6,0.0
7,Coal,Demand_GER,1900,1,1.0,1.0,7,7,0.0
8,Coal,Demand_GER,1900,1,1.0,1.0,8,8,0.0
9,Coal,Demand_GER,1900,1,1.0,1.0,9,9,0.0
10,Coal,Demand_GER,1900,1,1.0,1.0,10,10,0.0
11,Coal,Demand_GER,1900,1,1.0,1.0,11,11,0.0
12,Coal,Demand_GER,1900,1,1.0,1.0,12,12,0.0
13,Coal,Demand_GER,1900,1,1.0,1.0,13,13,0.0
14,Coal,Demand_GER,1900,1,1.0,1.0,14,14,0.0
15,Coal,Demand_GER,1900,1,1.0,1.0,15,15,0.0
16,Coal,Demand_GER,1900,1,1.0,1.0,16,16,0.0
17,Coal,Demand_GER,1900,1,1.0,1.0,17,17,0.0
18,Coal,Demand_GER,1900,1,1.0,1.0,18,18,0.0
19,Coal,Demand_GER,1900,1,1.0,1.0,19,19,0.0
20,Coal,Demand_GER,1900,1,1.0,1.0,20,20,0.0
21,Coal,Demand_GER,1900,1,1.0,1.0,21,21,0.0
22,Coal,Demand_GER,1900,1,1.0,1.0,22,22,0.0
23,Coal,Demand_GER,1900,1,1.0,1.0,23,23,0.0
24,Coal,Demand_GER,1900,1,1.0,1.0,24,24,0.0
25,Coal,Demand_GER,1900,1,1.0,1.0,25,25,0.0
26,Coal,Demand_GER,1900,1,1.0,1.0,26,26,0.0
27,Coal,Demand_GER,1900,1,1.0,1.0,27,27,0.0
28,Coal,Demand_GER,1900,1,1.0,1.0,28,28,0.0
29,Coal,Demand_GER,1900,1,1.0,1.0,29,29,0.0
30,Coal,Demand_GER,1900,1,1.0,1.0,30,30,0.0
31,Coal,Demand_GER,1900,1,1.0,1.0,31,31,0.0
32,Coal,Demand_GER,1900,1,1.0,1.0,32,32,0.0
33,Coal,Demand_GER,1900,1,1.0,1.0,33,33,0.0
34,Coal,Demand_GER,1900,1,1.0,1.0,34,34,0.0
35,Coal,Demand_GER,1900,1,1.0,1.0,35,35,0.0
36,Coal,Demand_GER,1900,1,1.0,1.0,36,36,0.0
37,Coal,Demand_GER,1900,1,1.0,1.0,37,37,0.0
38,Coal,Demand_GER,1900,1,1.0,1.0,38,38,0.0
39,Coal,Demand_GER,1900,1,1.0,1.0,39,39,0.0
40,Coal,Demand_GER,1900,1,1.0,1.0,40,40,0.0
41,Coal,Demand_GER,1900,1,1.0,1.0,41,41,0.0
42,Coal,Demand_GER,1900,1,1.0,1.0,42,42,0.0
43,Coal,Demand_GER,1900,1,1.0,1.0,43,43,-0.0
44,Coal,Demand_GER,1900,1,1.0,1.0,44,44,0.0
45,Coal,Demand_GER,1900,1,1.0,1.0,45,45,0.0
46,Coal,Demand_GER,1900,1,1.0,1.0,46,46,0.0
47,Coal,Demand_GER,1900,1,1.0,1.0,47,47,0.0
48,Coal,Demand_GER,1900,1,1.0,1.0,48,48,0.0
49,Coal,Demand_GER,1900,1,1.0,1.0,49,49,0.0
50,Coal,Demand_GER,1900,1,1.0,1.0,50,50,0.0
51,Coal,Demand_GER,1900,1,1.0,1.0,51,51,0.0
52,Coal,Demand_GER,1900,1,1.0,1.0,52,52,0.0
53,Coal,Demand_GER,1900,1,1.0,1.0,53,53,0.0
54,Coal,Demand_GER,1900,1,1.0,1.0,54,54,0.0
55,Coal,Demand_GER,1900,1,1.0,1.0,55,55,0.0
56,Coal,Demand_GER,1900,1,1.0,1.0,56,56,0.0
57,Coal,Demand_GER,1900,1,1.0,1.0,57,57,0.0
58,Coal,Demand_GER,1900,1,1.0,1.0,58,58,0.0
59,Coal,Demand_GER,1900,1,1.0,1.0,59,59,0.0
60,Coal,Demand_GER,1900,1,1.0,1.0,60,60,0.0
61,Coal,Demand_GER,1900,1,1.0,1.0,61,61,0.0
62,Coal,Demand_GER,1900,1,1.0,1.0,62,62,0.0
63,Coal,Demand_GER,1900,1,1.0,1.0,63,63,0.0
64,Coal,Demand_GER,1900,1,1.0,1.0,64,64,0.0
65,Coal,Demand_GER,1900,1,1.0,1.0,65,65,0.0
66,Coal,Demand_GER,1900,1,1.0,1.0,66,66,0.0
67,Coal,Demand_GER,1900,1,1.0,1.0,67,67,0.0
68,Coal,Demand_GER,1900,1,1.0,1.0,68,68,0.0
69,Coal,Demand_GER,1900,1,1.0,1.0,69,69,0.0
70,Coal,Demand_GER,1900,1,1.0,1.0,70,70,0.0
71,Coal,Demand_GER,1900,1,1.0,1.0,71,71,0.0
72,Coal,Demand_GER,1900,1,1.0,1.0,72,72,0.0
73,Coal,Demand_GER,1900,1,1.0,1.0,73,73,0.0
74,Coal,Demand_GER,1900,1,1.0,1.0,74,74,0.0
75,Coal,Demand_GER,1900,1,1.0,1.0,75,75,0.0
76,Coal,Demand_GER,1900,1,1.0,1.0,76,76,0.0
77,Coal,Demand_GER,1900,1,1.0,1.0,77,77,0.0
78,Coal,Demand_GER,1900,1,1.0,1.0,78,78,0.0
79,Coal,Demand_GER,1900,1,1.0,1.0,79,79,0.0
80,Coal,Demand_GER,1900,1,1.0,1.0,80,80,0.0
81,Coal,Demand_GER,1900,1,1.0,1.0,81,81,0.0
82,Coal,Demand_GER,1900,1,1.0,1.0,82,82,0.0
83,Coal,Demand_GER,1900,1,1.0,1.0,83,83,0.0
84,Coal,Demand_GER,1900,1,1.0,1.0,84,84,0.0
85,Coal,Demand_GER,1900,1,1.0,1.0,85,85,0.0
86,Coal,Demand_GER,1900,1,1.0,1.0,86,86,0.0
87,Coal,Demand_GER,1900,1,1.0,1.0,87,87,0.0
88,Coal,Demand_GER,1900,1,1.0,1.0,88,88,0.0
89,Coal,Demand_GER,1900,1,1.0,1.0,89,89,0.0
90,Coal,Demand_GER,1900,1,1.0,1.0,90,90,0.0
91,Coal,Demand_GER,1900,1,1.0,1.0,91,91,0.0
92,Coal,Demand_GER,1900,1,1.0,1.0,92,92,0.0
93,Coal,Demand_GER,1900,1,1.0,1.0,93,93,0.0
94,Coal,Demand_GER,1900,1,1.0,1.0,94,94,0.0
95,Coal,Demand_GER,1900,1,1.0,1.0,95,95,0.0
96,Coal,Demand_GER,1900,1,1.0,1.0,96,96,0.0
97,Coal,Demand_GER,1900,1,1.0,1.0,97,97,0.0
98,Coal,Demand_GER,1900,1,1.0,1.0,98,98,0.0
99,Coal,Demand_GER,1900,1,1.0,1.0,99,99,0.0
100,Coal,Demand_GER,1900,1,1.0,1.0,100,100,0.0
101,Gas,Demand_GER,1900,1,1.0,1.0,1,1,0.0
102,Gas,Demand_GER,1900,1,1.0,1.0,2,2,0.0
103,Gas,Demand_GER,1900,1,1.0,1.0,3,3,0.0
104,Gas,Demand_GER,1900,1,1.0,1.0,4,4,0.0
105,Gas,Demand_GER,1900,1,1.0,1.0,5,5,0.0
106,Gas,Demand_GER,1900,1,1.0,1.0,6,6,0.0
107,Gas,Demand_GER,1900,1,1.0,1.0,7,7,0.0
108,Gas,Demand_GER,1900,1,1.0,1.0,8,8,0.0
109,Gas,Demand_GER,1900,1,1.0,1.0,9,9,0.0
110,Gas,Demand_GER,1900,1,1.0,1.0,10,10,0.0
111,Gas,Demand_GER,1900,1,1.0,1.0,11,11,0.0
112,Gas,Demand_GER,1900,1,1.0,1.0,12,12,0.0
113,Gas,Demand_GER,1900,1,1.0,1.0,13,13,0.0
114,Gas,Demand_GER,1900,1,1.0,1.0,14,14,0.0
115,Gas,Demand_GER,1900,1,1.0,1.0,15,15,0.0
116,Gas,Demand_GER,1900,1,1.0,1.0,16,16,0.0
117,Gas,Demand_GER,1900,1,1.0,1.0,17,17,0.0
118,Gas,Demand_GER,1900,1,1.0,1.0,18,18,0.0
119,Gas,Demand_GER,1900,1,1.0,1.0,19,19,0.0
120,Gas,Demand_GER,1900,1,1.0,1.0,20,20,0.0
121,Gas,Demand_GER,1900,1,1.0,1.0,21,21,0.0
122,Gas,Demand_GER,1900,1,1.0,1.0,22,22,0.0
123,Gas,Demand_GER,1900,1,1.0,1.0,23,23,0.0
124,Gas,Demand_GER,1900,1,1.0,1.0,24,24,0.0
125,Gas,Demand_GER,1900,1,1.0,1.0,25,25,0.0
126,Gas,Demand_GER,1900,1,1.0,1.0,26,26,0.0
127,Gas,Demand_GER,1900,1,1.0,1.0,27,27,0.0
128,Gas,Demand_GER,1900,1,1.0,1.0,28,28,2531.4638872271025
129,Gas,Demand_GER,1900,1,1.0,1.0,29,29,4955.446865417049
130,Gas,Demand_GER,1900,1,1.0,1.0,30,30,7262.188410646355
131,Gas,Demand_GER,1900,1,1.0,1.0,31,31,9442.400088862429
132,Gas,Demand_GER,1900,1,1.0,1.0,32,32,11487.302957129272
133,Gas,Demand_GER,1900,1,1.0,1.0,33,33,13388.662913332053
134,Gas,Demand_GER,1900,1,1.0,1.0,34,34,15138.82385200027
135,Gas,Demand_GER,1900,1,1.0,1.0,35,35,16730.738492742377
136,Gas,Demand_GER,1900,1,1.0,1.0,36,36,18157.996757156376
137,Gas,Demand_GER,1900,1,1.0,1.0,37,37,19414.851579953436
138,Gas,Demand_GER,1900,1,1.0,1.0,38,38,20496.24205036123
139,Gas,Demand_GER,1900,1,1.0,1.0,39,39,21397.813790625434
140,Gas,Demand_GER,1900,1,1.0,1.0,40,40,22115.936489552143
141,Gas,Demand_GER,1900,1,1.0,1.0,41,41,22647.718520489703
142,Gas,Demand_GER,1900,1,1.0,1.0,42,42,22991.018584888683
143,Gas,Demand_GER,1900,1,1.0,1.0,43,43,23144.454334555405
144,Gas,Demand_GER,1900,1,1.0,1.0,44,44,23107.407937880067
145,Gas,Demand_GER,1900,1,1.0,1.0,45,45,22880.028567626883
146,Gas,Demand_GER,1900,1,1.0,1.0,46,46,22463.231800267662
147,Gas,Demand_GER,1900,1,1.0,1.0,47,47,21858.695929278765
