id,from_asset,to_asset,year,rep_period,capacity_coefficient,conversion_coefficient,time_block_start,time_block_end,solution
1,Coal,Demand_GER,1900,1,1.0,1.0,1,1,0.0
2,Gas,Demand_GER,1900,1,1.0,1.0,1,1,15178.591685778767
3,Lignite,Demand_GER,1900,1,1.0,1.0,1,1,0.0
4,Oil,Demand_GER,1900,1,1.0,1.0,1,1,0.0
5,WindOn,Demand_GER,1900,1,1.0,1.0,1,1,34322.16812241766
6,Loss_of_load,Demand_GER,1900,1,1.0,1.0,1,1,0.0
7,Coal,Demand_GER,1900,2,1.0,1.0,1,1,0.0
8,Gas,Demand_GER,1900,2,1.0,1.0,1,1,0.0
9,Lignite,Demand_GER,1900,2,1.0,1.0,1,1,0.0
10,Oil,Demand_GER,1900,2,1.0,1.0,1,1,0.0
11,WindOn,Demand_GER,1900,2,1.0,1.0,1,1,50030.20316431932
12,Loss_of_load,Demand_GER,1900,2,1.0,1.0,1,1,0.0
13,Coal,Demand_GER,1900,3,1.0,1.0,1,1,0.0
14,Gas,Demand_GER,1900,3,1.0,1.0,1,1,0.0
15,Lignite,Demand_GER,1900,3,1.0,1.0,1,1,0.0
16,Oil,Demand_GER,1900,3,1.0,1.0,1,1,0.0
17,WindOn,Demand_GER,1900,3,1.0,1.0,1,1,66715.08161341047
18,Loss_of_load,Demand_GER,1900,3,1.0,1.0,1,1,0.0
